pitcher_id,pitcher_name
608331,Max Fried
656234,Jake Bird
657277,Logan Webb
664141,JT Brubaker
666808,Camilo Doval
668873,Caleb Kilian
676775,Keaton Winn
687396,Brent Headrick
472610,Luis García
519141,Drew Pomeranz
542888,Shawn Armstrong
543135,Nathan Eovaldi
547973,Aroldis Chapman
571510,Matthew Boyd
571948,Hoby Milner
572955,Pierce Johnson
573124,Taylor Rogers
592773,Ryne Stanek
593974,Wandy Peralta
594580,Sam Moll
595014,Blake Treinen
601713,Nick Pivetta
605447,Jordan Romano
623437,Justin Topa
641302,Tyler Alexander
641401,Connor Brogdon
642100,Gabe Speier
642397,Gregory Soto
642547,Freddy Peralta
642701,Dennis Santana
643377,Griffin Jax
647315,Zach Pop
650911,Cristopher Sánchez
656222,Jalen Beeks
656271,Brock Burke
656457,Tyler Gilbert
656794,Sean Newcomb
656876,Drew Rasmussen
656945,Tanner Scott
657044,Ryan Thompson
657097,Jacob Webb
657746,Joe Ryan
661395,Jhoan Duran
663765,Jake Woodford
663855,Jordan Hicks
663947,Tyler Holton
664076,Garrett Cleavinger
664199,Taylor Clarke
664854,Ryan Helsley
664875,Justin Lawrence
666661,Juan Morillo
667755,José Soriano
668678,Zac Gallen
668933,Graham Ashcraft
668941,JoJo Romero
668964,Tobias Myers
668984,Casey Legumina
669084,DL Hall
669302,Logan Gilbert
669330,Tyler Wells
669373,Tarik Skubal
669432,Trevor Rogers
669461,Matthew Liberatore
670990,Yohan Ramírez
671096,Andrew Abbott
671922,Cade Smith
672335,Cionel Pérez
672782,Yoendrys Gómez
673929,Jordan Leasure
676440,Tanner Bibee
676477,Garrett Whitlock
676571,PJ Poulin
676617,Riley O'Brien
676684,Will Vest
676755,Isaac Mattson
676760,Ron Marinaccio
676879,Aaron Ashby
676917,Cade Cavalli
676962,Ben Brown
676979,Garrett Crochet
677865,Justin Bruihl
678606,Jose A. Ferrer
679775,Kyle Backhus
680742,Jonathan Bowlan
681217,Chase Silseth
681343,Shane Smith
681867,Cooper Criswell
681870,Erik Sabrowski
681892,Kody Funderburk
681982,Grant Anderson
682254,Mason Montgomery
683175,Connor Phillips
686580,Justin Slaten
686613,Hunter Brown
687911,Bryan King
688158,David Morgan
688297,Chris Roycroft
690925,Clayton Beeter
693855,Ian Seymour
694335,Matt Svanson
694361,Will Klein
694819,Jacob Misiorowski
694851,Andrew Hoffmann
694973,Paul Skenes
695418,Brad Lord
699134,Bradgley Rodriguez
805123,AJ Blubaugh
808967,Yoshinobu Yamamoto
623454,Drew Anderson
685005,Christian Roa
691945,Carter Baumler
699151,Jedixson Paez
700712,Walbert Urena
455119,Chris Martin
500779,Jose Quintana
571927,Steven Matz
595345,Steven Okert
596133,Luke Weaver
607455,Anthony Banda
607625,Seth Lugo
621381,Matt Strahm
622554,Seranthony Domínguez
622608,Antonio Senzatela
623211,Huascar Brazobán
623474,Jimmy Herget
640451,Hunter Harvey
640455,Sean Manaea
641329,Bryan Baker
641745,Brad Keller
641778,Eric Lauer
641927,Bailey Ober
641941,Emilio Pagán
650556,Bryan Abreu
656546,Jeff Hoffman
656550,Grant Holmes
656730,Trevor Megill
656848,Michael Petersen
657649,Jared Koenig
663574,Tony Santillan
663623,Jake Irvin
663969,Tyler Phillips
663992,Richard Lovelady
664208,Phil Maton
664991,Grant Wolfram
666200,Jesús Luzardo
666277,George Soriano
666974,Yennier Cano
667297,Tommy Nance
667463,John King
668390,Cole Winn
668674,Lucas Erceg
669022,MacKenzie Gore
669160,Dustin May
669358,Shane Baz
669372,J.T. Ginn
669387,Carmen Mlodzinski
669438,Mason Englert
669684,Chris Murphy
669711,Greg Weissert
670059,Colin Holderman
670167,John Schreiber
670329,Rico Garcia
676106,Emerson Hancock
676395,Robert Garcia
676974,Max Meyer
677944,Slade Cecconi
680755,Braydon Fisher
680767,Victor Vodnik
681402,Gus Varland
682274,Yaramil Hiraldo
682610,Roddery Muñoz
684007,Shota Imanaga
686799,Jack Kochanowicz
687075,Brandon Sproat
687330,Kevin Kelly
689254,Mason Fluharty
690953,Mick Abel
690997,Nolan McLean
691799,Grant Taylor
694037,Daniel Palencia
695076,Rhett Lowder
696147,Sam Bachman
800311,Didier Fuentes
806960,Luis Morales
813349,Connelly Early
641743,Anthony Kay
663558,Jovani Morán
664353,José Urquidy
688883,Peyton Pallette
690155,Matt Pushard
837227,Tatsuya Imai
434378,Justin Verlander
518585,Fernando Cruz
547184,Michael Kelly
548384,Brooks Raley
592836,Taijuan Walker
596001,Jakob Junis
605135,Chris Bassitt
605280,Clay Holmes
605452,Joe Ross
607067,Colin Rea
607259,Nick Martinez
607481,Aaron Bummer
608372,Tomoyuki Sugano
608650,Dietrich Enns
621111,Walker Buehler
621112,Paul Blackburn
621121,Lance McCullers Jr.
621237,José Alvarado
622491,Luis Castillo
623149,Paul Sewald
624133,Ranger Suarez
628452,Raisel Iglesias
640448,Kyle Finnegan
641312,Shaun Anderson
641835,Tim Mayza
642207,Devin Williams
643410,Mark Leiter Jr.
643511,Tyler Rogers
647336,Michael Soroka
656464,Kevin Ginkel
657424,Matt Gage
660825,Eduard Bazardo
663158,Robert Suarez
663436,Davis Martin
663460,Kris Bubic
663738,Daniel Lynch IV
663893,Brendon Little
663978,Chris Paddack
664192,Joey Lucchesi
665660,Elvis Alvarado
665795,Edward Cabrera
666374,Matt Brash
669199,Lake Bachar
669371,Cole Henry
670912,Johan Oviedo
672582,Angel Zerpa
676254,Ryan Walker
676428,Brant Hurter
677952,Braxton Ashcraft
677955,Jaden Hill
677960,Ryan Weathers
